Field,Label,Value
resource_32_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/977c349f-96aa-4aab-8f18-b80c76cc3137/download/sexual-intercourse_subnational_gha.csv
resource_32_id,Resource ID,977c349f-96aa-4aab-8f18-b80c76cc3137
resource_32_last_modified,Updated,2026-01-20T13:57:47.191208
resource_32_metadata_modified,Metadata Updated,2026-01-20T13:59:39.100512
resource_32_microdata,Microdata,False
resource_32_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_32_resource_type,Resource Type,file.upload
resource_32_name,Resource Name,Sexual Intercourse Data for Ghana
resource_32_mimetype,MIME Type,text/csv
resource_32_size,Size,518.3K
resource_33_created,Created,2020-01-27T16:40:24.706506
resource_33_description,Description,HXLated csv containing Social Marketing data
resource_33_format,File Format,CSV
resource_33_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/6d6652bd-47d0-4288-af30-735f9fffa1ce/download/social-marketing_subnational_gha.csv
resource_33_id,Resource ID,6d6652bd-47d0-4288-af30-735f9fffa1ce
resource_33_last_modified,Updated,2026-01-20T13:57:48.151747
resource_33_metadata_modified,Metadata Updated,2026-01-20T13:59:40.263386
resource_33_microdata,Microdata,False
resource_33_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_33_resource_type,Resource Type,file.upload
resource_33_name,Resource Name,Social Marketing Data for Ghana
resource_33_mimetype,MIME Type,text/csv
resource_33_size,Size,27.3K
resource_34_created,Created,2020-01-27T16:40:24.706510
resource_34_description,Description,HXLated csv containing Tobacco data
resource_34_format,File Format,CSV
resource_34_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/dc3fcb8a-40cd-41cd-93df-e78cfa67c95b/download/tobacco_subnational_gha.csv
resource_34_id,Resource ID,dc3fcb8a-40cd-41cd-93df-e78cfa67c95b
resource_34_last_modified,Updated,2026-01-20T13:57:48.495838
resource_34_metadata_modified,Metadata Updated,2026-01-20T13:59:41.076630
resource_34_microdata,Microdata,False
resource_34_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_34_resource_type,Resource Type,file.upload
resource_34_name,Resource Name,Tobacco Data for Ghana
resource_34_mimetype,MIME Type,text/csv
resource_34_size,Size,133.9K
resource_35_created,Created,2020-01-27T16:40:24.706515
resource_35_description,Description,HXLated csv containing Toilet Facilities data
resource_35_format,File Format,CSV
resource_35_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/23bb36b1-96da-4968-9726-4712f8ec0643/download/toilet-facilities_subnational_gha.csv
resource_35_id,Resource ID,23bb36b1-96da-4968-9726-4712f8ec0643
resource_35_last_modified,Updated,2026-01-20T13:57:48.847254
resource_35_metadata_modified,Metadata Updated,2026-01-20T13:59:41.854591
resource_35_microdata,Microdata,False
resource_35_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_35_resource_type,Resource Type,file.upload
resource_35_name,Resource Name,Toilet Facilities Data for Ghana
resource_35_mimetype,MIME Type,text/csv
resource_35_size,Size,581.7K
resource_36_created,Created,2020-01-27T16:40:24.706519
resource_36_description,Description,HXLated csv containing Water data
resource_36_format,File Format,CSV
resource_36_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/3c58b608-68fa-4597-98fd-940b8df7bead/download/water_subnational_gha.csv
resource_36_id,Resource ID,3c58b608-68fa-4597-98fd-940b8df7bead
resource_36_last_modified,Updated,2026-01-20T13:57:49.253997
resource_36_metadata_modified,Metadata Updated,2026-01-20T13:59:42.664134
resource_36_microdata,Microdata,False
resource_36_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_36_resource_type,Resource Type,file.upload
resource_36_name,Resource Name,Water Data for Ghana
resource_36_mimetype,MIME Type,text/csv
resource_36_size,Size,1008.1K
resource_37_created,Created,2020-01-27T16:40:24.706523
resource_37_description,Description,HXLated csv containing Select Malaria Indicators data
resource_37_format,File Format,CSV
resource_37_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/e808f0bd-35be-496d-8d94-39b9b4c94a75/download/select-malaria-indicators_subnational_gha.csv
resource_37_id,Resource ID,e808f0bd-35be-496d-8d94-39b9b4c94a75
resource_37_last_modified,Updated,2026-01-20T13:57:49.720398
resource_37_metadata_modified,Metadata Updated,2026-01-20T13:59:43.428528
resource_37_microdata,Microdata,False
resource_37_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_37_resource_type,Resource Type,file.upload
resource_37_name,Resource Name,Select Malaria Indicators Data for Ghana
resource_37_mimetype,MIME Type,text/csv
resource_37_size,Size,251.1K
resource_38_created,Created,2020-01-27T16:40:24.706527
resource_38_description,Description,HXLated csv containing Select Gender Indicators data
resource_38_format,File Format,CSV
resource_38_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/322862c4-e8dc-44f8-9536-993737535563/download/select-gender-indicators_subnational_gha.csv
resource_38_id,Resource ID,322862c4-e8dc-44f8-9536-993737535563
resource_38_last_modified,Updated,2026-01-20T13:57:50.168699
resource_38_metadata_modified,Metadata Updated,2026-01-20T13:59:44.215811
resource_38_microdata,Microdata,False
resource_38_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_38_resource_type,Resource Type,file.upload
resource_38_name,Resource Name,Select Gender Indicators Data for Ghana
resource_38_mimetype,MIME Type,text/csv
resource_38_size,Size,118.2K
resource_39_created,Created,2020-01-27T16:40:24.706531
resource_39_description,Description,HXLated csv containing Select Family Planning Indicators data
resource_39_format,File Format,CSV
resource_39_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/dd16872d-564a-4ea3-8775-24c20eda655b/download/select-family-planning-indicators_subnational_gha.csv
resource_39_id,Resource ID,dd16872d-564a-4ea3-8775-24c20eda655b
resource_39_last_modified,Updated,2026-01-20T13:57:51.577366
resource_39_metadata_modified,Metadata Updated,2026-01-20T13:59:46.315136
resource_39_microdata,Microdata,False
resource_39_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_39_resource_type,Resource Type,file.upload
resource_39_name,Resource Name,Select Family Planning Indicators Data for Ghana
resource_39_mimetype,MIME Type,text/csv
resource_39_size,Size,104.4K
resource_40_created,Created,2020-01-27T16:40:24.706535
resource_40_description,Description,HXLated csv containing Select Nutrition Indicators data
resource_40_format,File Format,CSV
resource_40_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/4ecc0a47-eff2-4f86-9c56-76d1c3e09e3f/download/select-nutrition-indicators_subnational_gha.csv
resource_40_id,Resource ID,4ecc0a47-eff2-4f86-9c56-76d1c3e09e3f
resource_40_last_modified,Updated,2026-01-20T13:57:52.129368
resource_40_metadata_modified,Metadata Updated,2026-01-20T13:59:45.185166
resource_40_microdata,Microdata,False
resource_40_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_40_resource_type,Resource Type,file.upload
resource_40_name,Resource Name,Select Nutrition Indicators Data for Ghana
resource_40_mimetype,MIME Type,text/csv
resource_40_size,Size,127.8K
resource_41_created,Created,2020-01-27T16:40:24.706540
resource_41_description,Description,HXLated csv containing Select Child Mortality Indicators data
resource_41_format,File Format,CSV
resource_41_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/0b805997-f217-4169-bb8e-999787e280ae/download/select-child-mortality-indicators_subnational_gha.csv
resource_41_id,Resource ID,0b805997-f217-4169-bb8e-999787e280ae
resource_41_last_modified,Updated,2026-01-20T13:57:52.630234
resource_41_metadata_modified,Metadata Updated,2026-01-20T13:59:48.065634
resource_41_microdata,Microdata,False
resource_41_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_41_resource_type,Resource Type,file.upload
resource_41_name,Resource Name,Select Child Mortality Indicators Data for Ghana
resource_41_mimetype,MIME Type,text/csv
resource_41_size,Size,94.3K
resource_42_created,Created,2020-01-27T16:40:24.706544
resource_42_description,Description,HXLated csv containing Select Education Indicators data
resource_42_format,File Format,CSV
resource_42_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/177e7572-d2e2-4895-8174-2428eb618148/download/select-education-indicators_subnational_gha.csv
resource_42_id,Resource ID,177e7572-d2e2-4895-8174-2428eb618148
resource_42_last_modified,Updated,2026-01-20T13:57:53.135659
resource_42_metadata_modified,Metadata Updated,2026-01-20T13:59:47.247049
resource_42_microdata,Microdata,False
resource_42_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_42_resource_type,Resource Type,file.upload
resource_42_name,Resource Name,Select Education Indicators Data for Ghana
resource_42_mimetype,MIME Type,text/csv
resource_42_size,Size,131.2K
resource_43_created,Created,2023-07-25T22:58:43.632404
resource_43_description,Description,HXLated csv containing COVID-19 Prevention data
resource_43_format,File Format,CSV
resource_43_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/280bb6a2-a1c8-4636-b8e6-0fe06d25cb00/download/covid-19-prevention_subnational_gha.csv
resource_43_id,Resource ID,280bb6a2-a1c8-4636-b8e6-0fe06d25cb00
resource_43_last_modified,Updated,2026-01-20T13:57:53.581954
resource_43_metadata_modified,Metadata Updated,2026-01-20T13:59:49.058746
resource_43_microdata,Microdata,False
resource_43_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_43_resource_type,Resource Type,file.upload
resource_43_name,Resource Name,COVID-19 Prevention Data for Ghana
resource_43_mimetype,MIME Type,text/csv
resource_43_size,Size,341.8K
resource_44_created,Created,2023-07-25T22:58:43.632409
resource_44_description,Description,HXLated csv containing COVID-19 Additional factors data
resource_44_format,File Format,CSV
resource_44_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/cb23742e-9794-47d8-b417-149cfa8c188b/download/covid-19-additional-factors_subnational_gha.csv
resource_44_id,Resource ID,cb23742e-9794-47d8-b417-149cfa8c188b
resource_44_last_modified,Updated,2026-01-20T13:57:54.067016
resource_44_metadata_modified,Metadata Updated,2026-01-20T13:59:50.629012
resource_44_microdata,Microdata,False
resource_44_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_44_resource_type,Resource Type,file.upload
resource_44_name,Resource Name,COVID-19 Additional factors Data for Ghana
resource_44_mimetype,MIME Type,text/csv
resource_44_size,Size,313.3K
